iso3,target,model,MAE
BRB,co2_pc,ARIMA,0.8058235884611911
BRB,co2_pc,RF-lag,0.5306618427999916
BRN,co2_pc,ARIMA,2.0978816110884804
BRN,co2_pc,RF-lag,2.769794810999996
BTN,co2_pc,ARIMA,2.7892976257200934
BTN,co2_pc,RF-lag,0.5259448361000004
BWA,co2_pc,ARIMA,0.7814323958269613
BWA,co2_pc,RF-lag,0.2544966812999994
CAF,co2_pc,ARIMA,0.013227976685301537
CAF,co2_pc,RF-lag,0.008149395465999984
CAN,co2_pc,ARIMA,1.7812103034702773
CAN,co2_pc,RF-lag,0.5471061320000004
CHE,co2_pc,ARIMA,0.7766070013589981
CHE,co2_pc,RF-lag,0.43489749439999964
CHL,co2_pc,ARIMA,0.24187411440305576
CHL,co2_pc,RF-lag,0.4250976874999993
CHN,co2_pc,ARIMA,1.1070765240023914
CHN,co2_pc,RF-lag,2.241324847999995
CIV,co2_pc,ARIMA,0.059248200551845195
CIV,co2_pc,RF-lag,0.041293969250000125
CMR,co2_pc,ARIMA,0.03451924314092146
CMR,co2_pc,RF-lag,0.03565653740999987
COD,co2_pc,ARIMA,0.015458379306087025
COD,co2_pc,RF-lag,0.008035320272999967
COG,co2_pc,ARIMA,0.06636050999999996
COG,co2_pc,RF-lag,0.17460529026000007
COL,co2_pc,ARIMA,0.37129702086888244
COL,co2_pc,RF-lag,0.0990949835000003
COM,co2_pc,ARIMA,0.026004717967489488
COM,co2_pc,RF-lag,0.027561753049999953
CPV,co2_pc,ARIMA,0.0833980218590543
CPV,co2_pc,RF-lag,0.1551367808999995
CRI,co2_pc,ARIMA,0.06501200775511311
CRI,co2_pc,RF-lag,0.07355329000000019
CUB,co2_pc,ARIMA,0.1446014808301384
CUB,co2_pc,RF-lag,0.21035201060000022
CYP,co2_pc,ARIMA,1.2072908248757193
CYP,co2_pc,RF-lag,0.4217493237000065
CZE,co2_pc,ARIMA,1.3448694665589616
CZE,co2_pc,RF-lag,1.1756205259999941
DEU,co2_pc,ARIMA,0.4432712817927696
DEU,co2_pc,RF-lag,0.5336376640000088
DJI,co2_pc,ARIMA,0.08434495366835709
DJI,co2_pc,RF-lag,0.07902561437000018
DMA,co2_pc,ARIMA,0.1462647715954717
DMA,co2_pc,RF-lag,0.44293228600000345
DNK,co2_pc,ARIMA,1.9077164854176647
DNK,co2_pc,RF-lag,1.3310211344000031
DOM,co2_pc,ARIMA,0.0421619384792661
DOM,co2_pc,RF-lag,0.06536559200000021
DZA,co2_pc,ARIMA,0.4229585475171899
DZA,co2_pc,RF-lag,0.24446912330000195
ECU,co2_pc,ARIMA,0.3044253385752757
ECU,co2_pc,RF-lag,0.40729630460000044
EGY,co2_pc,ARIMA,0.07590861900836501
EGY,co2_pc,RF-lag,0.4679033556000013
ERI,co2_pc,ARIMA,0.02065665276505461
ERI,co2_pc,RF-lag,0.11960715674000025
ESP,co2_pc,ARIMA,1.7879332179288572
ESP,co2_pc,RF-lag,0.4430486067000001
EST,co2_pc,ARIMA,1.0247385536394196
EST,co2_pc,RF-lag,1.5645738799999955
ETH,co2_pc,ARIMA,1.2924089695991534
ETH,co2_pc,RF-lag,0.014207494514000062
FIN,co2_pc,ARIMA,2.0371041913672703
FIN,co2_pc,RF-lag,1.5319018769999981
FJI,co2_pc,ARIMA,0.1625949438956398
FJI,co2_pc,RF-lag,0.1419398935399997
FRA,co2_pc,ARIMA,1.711197945597398
FRA,co2_pc,RF-lag,0.8289754769999957
FSM,co2_pc,ARIMA,0.1417344904217731
GAB,co2_pc,ARIMA,0.21949146182021678
GAB,co2_pc,RF-lag,0.4803992123999995
GBR,co2_pc,ARIMA,1.4188411936871348
GBR,co2_pc,RF-lag,1.5628076390000003
GHA,co2_pc,ARIMA,0.08390434228088758
GHA,co2_pc,RF-lag,0.09320937762000019
GIN,co2_pc,ARIMA,0.017826492308246806
GIN,co2_pc,RF-lag,0.020300193340000158
GMB,co2_pc,ARIMA,0.022520430117039057
GMB,co2_pc,RF-lag,0.014805940060000045
GNB,co2_pc,ARIMA,0.00385734387451922
GNB,co2_pc,RF-lag,0.006091880399999994
GNQ,co2_pc,ARIMA,0.4529489589584112
GNQ,co2_pc,RF-lag,1.6717286869999968
GRC,co2_pc,ARIMA,5.666357695439546
GRC,co2_pc,RF-lag,0.532542061499997
GRD,co2_pc,ARIMA,0.13206618467415066
GTM,co2_pc,ARIMA,0.07316720525456492
GTM,co2_pc,RF-lag,0.04720224436000013
GUY,co2_pc,ARIMA,0.19494140959234527
GUY,co2_pc,RF-lag,0.26280543010000057
HND,co2_pc,ARIMA,0.03783079532203225
HND,co2_pc,RF-lag,0.06461236429999952
HRV,co2_pc,ARIMA,1.533529326477172
HRV,co2_pc,RF-lag,0.3183031071999971
HTI,co2_pc,ARIMA,0.04828466802275309
HTI,co2_pc,RF-lag,0.028249685050000167
HUN,co2_pc,ARIMA,1.5552569498187325
HUN,co2_pc,RF-lag,0.48411116089999917
IDN,co2_pc,ARIMA,0.2027389427157859
IDN,co2_pc,RF-lag,0.2667770379999999
IND,co2_pc,ARIMA,76.82034537166116
IND,co2_pc,RF-lag,0.34559002800000116
IRL,co2_pc,ARIMA,2.667551219418444
IRL,co2_pc,RF-lag,0.5765100333999957
IRN,co2_pc,ARIMA,1.9507245332719123
IRN,co2_pc,RF-lag,1.0107613109999931
IRQ,co2_pc,ARIMA,0.358793706556978
IRQ,co2_pc,RF-lag,0.36647532159999996
ISR,co2_pc,ARIMA,1.3416229016801025
ISR,co2_pc,RF-lag,0.4530025660000012
